Номенклатура;Артикул;Наименование
127580;51645AE;Картридж совместимый черный повышенный(930стр) для HP ColorCopier 110/120/140/145/150/155/160/170/180/190/210/210LX/260/270/280/290, DesignJet 700/720
127581;C4092A;Картридж совместимый черный стандарт(2500стр) для HP LaserJet 1100/3200/3220 совместимые партномера C4092A
127606;C7115A;Картридж совместимый черный стандарт(2500стр) для HP LaserJet 1000/1005/1200/1220/3300/3310/3320/3330/3380 совместимые партномера C7115A
127631;CB400A;Картридж совместимый черный стандарт(7500стр) для HP Color LaserJet CP4005 совместимые партномера CB400A
127633;CB401A;Картридж совместимый голубой стандарт(7500стр) для HP Color LaserJet CP4005 совместимые партномера CB401A
127636;CB402A;Картридж совместимый желтый стандарт(7500стр) для HP Color LaserJet CP4005 совместимые партномера CB402A
127637;CB403A;Картридж совместимый пурпурный стандарт(7500стр) для HP Color LaserJet CP4005 совместимые партномера CB403A
127665;CE255A;Картридж совместимый черный стандарт(6000стр) для HP LaserJet M521PRO500/M521/M525/P3010/P3015 совместимые партномера CE255A
127683;CE278A;Картридж совместимый черный стандарт(2100стр) для HP LaserJet Pro M1536/P1560/P1566/P1600/P1606/M1530 совместимые партномера CE278A/CE278AC
127685;CE285A;Картридж совместимый черный стандарт(1600стр) для HP LaserJet Pro M1130/M1132/M1137/M1210/M1212/M1214/M1217/P1100/P1101/P1102/P1103/P1104/P1106/P1108/
127716;CE400X;Картридж совместимый черный повышенный(11000стр) для HP Color LaserJet M551/M570/M575, Color LaserJet Pro M570 совместимые партномера CE400X/CE400XC/C
127718;CE401A;Картридж совместимый голубой стандарт(6000стр) для HP Color LaserJet M551/M570/M575, Color LaserJet Pro M570 совместимые партномера CE401A/CE401AC/CE4
127719;CE402A;Картридж совместимый желтый стандарт(6000стр) для HP Color LaserJet M551/M570/M575, Color LaserJet Pro M570 совместимые партномера CE402A/CE402AC/CE40
127722;CE403A;Картридж совместимый пурпурный стандарт(6000стр) для HP Color LaserJet M551/M575, Color LaserJet Pro M570 совместимые партномера CE403A/CE403AC/CE403Y
127723;CE410A;Картридж совместимый черный стандарт(2200стр) для HP Color LaserJet Pro M351/M357/M375/M451/M475 совместимые партномера CE410A